Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	AT1G01010	Chr1	+	3631	5899	6.377962	2.199966	5.136640
AT1G01020	AT1G01020	Chr1	-	5928	8737	39.397732	17.912951	41.824459
AT1G01030	AT1G01030	Chr1	-	11649	13714	1.523105	0.525368	1.226668
AT1G01040	AT1G01040	Chr1	+	23146	31227	14.690278	5.069585	11.836835
AT1G01046	AT1G01046	Chr1	+	28500	28706	5.478261	1.889630	4.412045
AT1G01050	AT1G01050	Chr1	-	31170	33153	137.172897	47.315372	110.475380
AT1G01060	AT1G01060	Chr1	-	33379	37871	38.000938	15.830223	36.961552
AT1G01080	AT1G01080	Chr1	-	45296	47019	224.576141	77.623047	181.239929
AT1G01090	AT1G01090	Chr1	-	47485	49286	183.984131	63.462086	148.175888
AT1G01100	AT1G01100	Chr1	-	50075	51199	2442.006348	911.716919	2128.742920
AT1G01110	AT1G01110	Chr1	+	52239	54692	1.137223	0.476799	1.113266
AT1G01120	AT1G01120	Chr1	-	57269	59167	0.000000	0.000000	0.000000
AT1G01130	AT1G01130	Chr1	-	61905	63811	10.342857	3.567587	8.329860
AT1G01140	AT1G01140	Chr1	-	64166	67625	16.139595	5.624465	13.132411
AT1G01150	AT1G01150	Chr1	-	70115	72138	2.829995	0.976157	2.279202
AT1G01160	AT1G01160	Chr1	+	72339	74096	83.254860	31.482403	73.507401
AT1G01170	AT1G01170	Chr1	-	73931	74737	307.544098	106.181351	247.919937
AT1G01180	AT1G01180	Chr1	+	75583	76758	1.301871	0.449057	1.048492
AT1G01183	AT1G01183	Chr1	-	78932	79032	0.000000	0.000000	0.000000
AT1G01190	AT1G01190	Chr1	-	83045	84864	0.222637	0.076795	0.179306
AT1G01200	AT1G01200	Chr1	-	86515	88213	3.899185	1.344955	3.140299
AT1G01210	AT1G01210	Chr1	+	88898	89745	41.767731	14.407043	33.638611
AT1G01220	AT1G01220	Chr1	+	91376	95651	25.600931	8.830591	20.618307
AT1G01225	AT1G01225	Chr1	+	95987	97407	8.287968	2.858788	6.674907
AT1G01230	AT1G01230	Chr1	+	97456	99240	37.562317	12.956460	30.251684
AT1G01240	AT1G01240	Chr1	+	99894	101834	1.345698	0.521979	1.218755
