Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	AT1G01010	Chr1	+	3631	5899	4.276066	1.806756	3.762614
AT1G01020	AT1G01020	Chr1	-	5928	8737	35.694096	18.184380	37.869408
AT1G01030	AT1G01030	Chr1	-	11649	13714	1.057744	0.446926	0.930735
AT1G01070	AT1G01070	Chr1	-	38752	40944	2.925517	1.250776	2.604772
AT1G01040	AT1G01040	Chr1	+	23146	31227	15.284705	6.461311	13.455837
AT1G01046	AT1G01046	Chr1	+	28500	28706	5.474916	2.313304	4.817511
AT1G01050	AT1G01050	Chr1	-	31170	33153	122.844772	51.905323	108.094093
AT1G01060	AT1G01060	Chr1	-	33379	37871	43.221245	22.076151	45.974117
AT1G01080	AT1G01080	Chr1	-	45296	47019	167.788422	71.044167	147.951187
AT1G01090	AT1G01090	Chr1	-	47485	49286	199.347107	84.229683	175.410339
AT1G01110	AT1G01110	Chr1	+	52239	54692	4.985568	2.188107	4.556786
AT1G01130	AT1G01130	Chr1	-	61905	63811	10.180270	4.301446	8.957866
AT1G01120	AT1G01120	Chr1	-	57269	59167	29.096893	12.294244	25.603062
AT1G01140	AT1G01140	Chr1	-	64166	67625	17.433512	7.444644	15.503653
AT1G01150	AT1G01150	Chr1	-	70115	72138	1.972570	0.833466	1.735712
AT1G01180	AT1G01180	Chr1	+	75583	76758	2.170068	0.916914	1.909495
AT1G01183	AT1G01183	Chr1	-	78932	79032	0.000000	0.000000	0.000000
AT1G01190	AT1G01190	Chr1	-	83045	84864	0.520892	0.220091	0.458346
AT1G01200	AT1G01200	Chr1	-	86515	88213	2.283192	0.964712	2.009036
AT1G01160	AT1G01160	Chr1	+	72339	74096	99.595177	45.987377	95.769821
AT1G01170	AT1G01170	Chr1	-	73931	74737	220.427826	93.204819	194.101288
AT1G01100	AT1G01100	Chr1	-	50075	51199	1559.785522	712.517761	1483.835449
AT1G01225	AT1G01225	Chr1	+	95987	97407	11.769919	4.973117	10.356637
AT1G01230	AT1G01230	Chr1	+	97456	99240	33.349758	14.091198	29.345259
AT1G01250	AT1G01250	Chr1	-	104491	105330	0.465476	0.196677	0.409584
AT1G01210	AT1G01210	Chr1	+	88898	89745	20.883026	8.823657	18.375481
AT1G01220	AT1G01220	Chr1	+	91376	95651	26.206419	11.072939	23.059662
AT1G01240	AT1G01240	Chr1	+	99894	101834	1.291181	0.545560	1.136141
AT1G01290	AT1G01290	Chr1	+	114286	116108	28.181337	13.945642	29.042137
AT1G01260	AT1G01260	Chr1	+	108946	111609	1.088418	0.475260	0.989741
AT1G01305	AT1G01305	Chr1	+	119397	119997	0.148087	0.062571	0.130305
AT1G01300	AT1G01300	Chr1	+	116943	118764	0.000000	0.000000	0.000000
AT1G01340	AT1G01340	Chr1	-	132328	135831	1.529094	0.679401	1.414869
AT1G01360	AT1G01360	Chr1	+	141971	143183	12.660001	5.349201	11.139841
AT1G01350	AT1G01350	Chr1	+	136124	138162	46.626785	19.701109	41.028034
AT1G01380	AT1G01380	Chr1	+	147153	147942	15.388409	6.502029	13.540633
AT1G01420	AT1G01420	Chr1	-	154492	156011	0.772368	0.326347	0.679625
AT1G01370	AT1G01370	Chr1	+	143564	145684	60.086475	28.422462	59.190468
AT1G01430	AT1G01430	Chr1	-	156801	158655	9.788670	4.135984	8.613288
AT1G01440	AT1G01440	Chr1	-	159856	162572	14.734129	6.225578	12.964917
AT1G01470	AT1G01470	Chr1	-	172146	172948	14.033699	5.929627	12.348592
AT1G01310	AT1G01310	Chr1	+	120154	121130	0.093142	0.039355	0.081958
AT1G01320	AT1G01320	Chr1	-	121067	130577	196.358871	83.762024	174.436447
AT1G01448	AT1G01448	Chr1	+	163419	166239	6.034149	3.016529	6.281994
AT1G01450	AT1G01450	Chr1	-	164105	165517	4.502905	1.902602	3.962215
AT1G01490	AT1G01490	Chr1	-	180059	182358	13.087752	5.895278	12.277058
AT1G01500	AT1G01500	Chr1	+	185133	186923	5.791370	2.447015	5.095968
AT1G01520	AT1G01520	Chr1	+	190596	192139	2.196482	0.928075	1.932738
AT1G01510	AT1G01510	Chr1	+	187211	190056	44.035213	18.606100	38.747650
AT1G01540	AT1G01540	Chr1	+	195780	198684	54.068142	23.677782	49.309559
AT1G01580	AT1G01580	Chr1	+	209395	213041	0.247821	0.104711	0.218064
AT1G01570	AT1G01570	Chr1	+	205176	207435	2.923971	1.235459	2.572873
AT1G01550	AT1G01550	Chr1	+	199639	201775	104.194252	47.251503	98.402405
AT1G01600	AT1G01600	Chr1	+	218994	221286	37.362000	15.786481	32.875729
AT1G01610	AT1G01610	Chr1	-	221691	224340	82.334045	34.788418	72.447723
AT1G01640	AT1G01640	Chr1	-	230994	232508	0.593561	0.271559	0.565529
AT1G01630	AT1G01630	Chr1	+	229013	230917	110.248962	46.583241	97.010719
AT1G01660	AT1G01660	Chr1	-	240057	242608	1.738808	0.734695	1.530019
AT1G01670	AT1G01670	Chr1	-	242843	245988	3.335223	1.409224	2.934743
AT1G01650	AT1G01650	Chr1	-	232841	237817	28.577080	12.506976	26.046080
AT1G01620	AT1G01620	Chr1	-	225665	227302	820.921631	347.111298	722.867737
AT1G01695	AT1G01695	Chr1	+	252947	254495	3.871736	1.635916	3.406834
AT1G01700	AT1G01700	Chr1	-	259495	261474	7.547715	3.189119	6.641417
AT1G01690	AT1G01690	Chr1	+	249141	252462	42.781464	18.076355	37.644447
AT1G01710	AT1G01710	Chr1	+	262828	267771	32.845329	13.878062	28.901402
AT1G01720	AT1G01720	Chr1	+	268330	269819	9.939570	4.199744	8.746068
AT1G01725	AT1G01725	Chr1	-	269792	270775	18.942604	8.003775	16.668056
AT1G01730	AT1G01730	Chr1	+	270956	272061	15.595070	6.589349	13.722480
